sp	genus	species	family	grform	repsize	breedsys	maxht
FICUIN	Ficus	insipida	Moraceae	T	40	M	30
FICUMA	Ficus	maxima	Moraceae	T	30	M	20
FICUOB	Ficus	obtusifolia	Moraceae	T	30	M	40
FICUPE	Ficus	pertusa	Moraceae	T	-1	M	25
FICUPO	Ficus	popenoei	Moraceae	T	30	M	17
FICUTO	Ficus	tonduzii	Moraceae	M	20	M	10
FICUTR	Ficus	trigonata	Moraceae	T	30	M	30
FICUYO	Ficus	yoponensis	Moraceae	T	40	M	40
GAR2IN	Garcinia	intermedia	Clusiaceae	M	10	D	10
GAR2MA	Garcinia	madruno	Clusiaceae	M	20	D	9
GENIAM	Genipa	americana	Rubiaceae	T	30	B	20
GEONIN	Geonoma	interrupta	Arecaceae	U	2	M	6
GUAPST	Guapira	standleyana	Nyctaginaceae	T	30	D	20
GUARGR	Guarea	grandifolia	Meliaceae	T	30	D	-1
GUARGU	Guarea	guidonia	Meliaceae	M	4	D	15
GUARSP	Guarea	'fuzzy'	Meliaceae	M	8	D	-1
GUATDU	Guatteria	dumetorum	Annonaceae	T	30	B	35
GUAZUL	Guazuma	ulmifolia	Sterculiaceae	T	30	B	25
GUETFO	Guettarda	foliacea	Rubiaceae	U	10	B	10
GUSTSU	Gustavia	superba	Lecythidaceae	M	10	B	10
HAMEAX	Hamelia	axillaris	Rubiaceae	S	1	B	3
HAMEPA	Hamelia	patens	Rubiaceae	S	1	B	-1
HAMPAP	Hampea	appendiculata	Malvaceae	M	8	D	17
HASSFL	Hasseltia	floribunda	Flacourtiaceae	M	8	B	20
HEISAC	Heisteria	acuminata	Olacaceae	U	5	B	10
HEISCO	Heisteria	concinna	Olacaceae	M	15	B	20
HERRPU	Herrania	purpurea	Sterculiaceae	U	1	B	6
HIRTAM	Hirtella	americana	Chrysobalanaceae	T	30	B	20
HIRTTR	Hirtella	triandra	Chrysobalanaceae	M	8	B	20
HURACR	Hura	crepitans	Euphorbiaceae	T	30	M	25
HYBAPR	Hybanthus	prunifolius	Violaceae	S	1	B	6
HYERAL	Hyeronima	alchorneoides	Euphorbiaceae	T	30	D	40
INGACO	Inga	cocleensis	Fabaceae:Mimos.	M	16	B	13
INGAFA	Inga	laurina	Fabaceae:Mimos.	T	30	B	8
